Country,Region,# of Subscribers Q1 2021,Average Monthly Revenue per Paying Membership - Q1 2021 ($),Q1 2021 Revenue $,# of Subscribers Q2 2021,Average Monthly Revenue per Paying Membership - Q2 2021 ($),Q2 2021 Revenue $,# of Subscribers Q3 2021 (Estimate),Q3 2021 Revenue $ (Estimate),# of Subscribers Q4 2021 (Estimate),Q4 2021 Revenue $ (Estimate),latitude,longitude
Slovenia,Europe,92340,11.56,3202351,92599,11.66,3239097,94148,3293294,95723,3348397,46.151241,14.995463
South Africa,Africa and Middle East,349000,11.56,12103320,349977,11.66,12242202,355833,12447039,361787,12655303,-30.559482,22.937506
South Korea,Asia and Pacific,4002920,9.71,116605060,4156632,9.74,121456791,4226181,123489006,4296893,125555224,35.907757,127.766922
Spain,Europe,4762560,11.56,165165581,4775895,11.66,167060813,4855805,169856074,4937053,172698106,40.463667,-3.74922
Sweden,Europe,1713260,11.56,59415857,1718057,11.66,60097638,1746804,61103192,1776031,62125571,60.128161,18.643501
Switzerland,Europe,1428631,11.56,49544930,1432631,11.66,50113445,1456602,50951943,1480974,51804471,46.818188,8.227512
Turkey,Europe,3081300,11.56,106859484,3089928,11.66,108085669,3141628,109894158,3194194,111732907,38.963745,35.243322
UAE,Africa and Middle East,425993,11.56,14773428,427186,11.66,14942949,434333,15192975,441600,15447183,23.424076,53.847818
United Kingdom,Europe,12716400,11.56,441004752,12752006,11.66,446065167,12965372,453528729,13182309,461117172,55.378051,-3.435973
United States,North America,67670924,14.25,2892932001,67278433,14.54,2934685232,68404135,2983788385,69548673,3033713132,37.09024,-95.712891
Vietnam,Asia and Pacific,316020,9.71,9205663,328155,9.74,9588694,333646,9749132,339228,9912255,14.058324,108.277199
